date,stock,close,confidence,market_regime,signal
2026-04-08 15:10:00,TCS,2561.5,0.2491,1,NO TRADE
2026-04-08 15:11:00,TCS,2561.2,0.282,1,NO TRADE
2026-04-08 15:12:00,TCS,2560.9,0.3009,1,NO TRADE
2026-04-08 15:13:00,TCS,2561.0,0.3236,1,NO TRADE
2026-04-08 15:14:00,TCS,2559.8,0.3286,1,NO TRADE
2026-04-08 15:15:00,TCS,2558.3,0.3173,1,NO TRADE
2026-04-08 15:16:00,TCS,2558.8,0.316,1,NO TRADE
2026-04-08 15:17:00,TCS,2560.6,0.2929,1,NO TRADE
2026-04-08 15:18:00,TCS,2560.3,0.3059,1,NO TRADE
2026-04-08 15:19:00,TCS,2559.8,0.3374,1,NO TRADE
2026-04-08 15:20:00,TCS,2561.6,0.2923,1,NO TRADE
2026-04-08 15:21:00,TCS,2562.0,0.2978,1,NO TRADE
2026-04-08 15:22:00,TCS,2562.4,0.2815,1,NO TRADE
2026-04-08 15:23:00,TCS,2560.5,0.291,1,NO TRADE
2026-04-08 15:24:00,TCS,2560.8,0.2811,1,NO TRADE
2026-04-08 15:25:00,TCS,2560.0,0.2608,1,NO TRADE
2026-04-08 15:26:00,TCS,2559.6,0.2648,1,NO TRADE
2026-04-08 15:27:00,TCS,2559.7,0.2439,1,NO TRADE
2026-04-08 15:28:00,TCS,2558.0,0.2788,1,NO TRADE
2026-04-08 15:29:00,TCS,2561.1,0.3198,1,NO TRADE
