date,stock,action,price,confidence,pnl
2026-01-20 09:15:00,TCS,BUY,3150.5,0.5394,0.0
2026-01-20 09:23:00,TCS,STOP LOSS,3142.62,0.4461,-244.16
2026-01-20 09:36:00,TCS,BUY,3143.6,0.5731,0.0
2026-01-20 10:21:00,TCS,TIME EXIT,3140.0,0.1577,-111.6
2026-01-20 10:41:00,TCS,BUY,3135.9,0.5031,0.0
2026-01-20 11:26:00,TCS,TIME EXIT,3137.5,0.2901,49.6
